Sun Azimuth (deg)	Sun Zenith (deg)	Phytoplankton	Scattering X	Scattering Y	CDOM G	CDOM S	Depth (m)	#wave length (nm) →	410	430	450	470	490	510	530	550	570	590	610	630	650	670	690	710	730
130	40	0.013	0.01	1	0.141	0.014	12	-	0.0012806	0.002474	0.0041762	0.0066624	0.0090424	0.0083228	0.0083476	0.0075232	0.0063516	0.0014129	0.00016714	0.00012972	0.000095002	0.000067064	0.000055002	0.000033028	0.000015018
130	40	0.033	0.01	1	0.05	0.014	12	-	0.0052301	0.0065286	0.0080609	0.010225	0.011972	0.010048	0.0095799	0.0083663	0.0068593	0.0014379	0.00016683	0.00012736	0.000093264	0.000065544	0.000054492	0.000032988	0.000015022
130	40	0.033	0.01	1	0.141	0.014	12	-	0.00093719	0.0016097	0.0026676	0.004321	0.0061721	0.0061025	0.0065672	0.0062951	0.00554	0.0012441	0.00015948	0.00012419	0.000092192	0.00006523	0.000054329	0.000032942	0.000015015
130	40	0.06	0.01	1	0.02	0.014	12	-	0.0057621	0.0055561	0.0061853	0.007471	0.0088292	0.007761	0.0078325	0.0072159	0.0061158	0.0012698	0.00015897	0.0001213	0.000090052	0.000063322	0.000053658	0.000032888	0.00001502
130	40	0.033	0.01	1	0.09	0.014	12	-	0.0023129	0.0034372	0.0048996	0.0069621	0.0089191	0.008057	0.0081077	0.0073795	0.0062429	0.0013488	0.00016351	0.00012594	0.000092788	0.000065406	0.00005442	0.000032968	0.000015019
130	40	0.094	0.01	1	0.05	0.014	12	-	0.0016611	0.0016313	0.0020187	0.0027405	0.0037649	0.0039273	0.0046278	0.004868	0.0045264	0.00098125	0.00014578	0.0001129	0.000085824	0.000060567	0.000052532	0.000032728	0.000015012
130	40	0.013	0.01	1	0.09	0.014	12	-	0.0033668	0.0055009	0.0078455	0.010879	0.013178	0.01104	0.010332	0.0088312	0.007163	0.0015337	0.00017161	0.00013168	0.000095657	0.000067252	0.000055096	0.000033054	0.000015022
130	40	0.06	0.01	1	0.05	0.014	12	-	0.0030838	0.0034447	0.0042801	0.0056258	0.0071042	0.0065897	0.0069189	0.0065715	0.0057007	0.0012112	0.00015671	0.00012036	0.000089731	0.000063227	0.000053606	0.000032873	0.000015018
130	40	0.013	0.01	1	0.05	0.014	12	-	0.0078684	0.010708	0.013122	0.016167	0.01783	0.013824	0.012235	0.010023	0.0078748	0.0016365	0.0001753	0.00013327	0.000096181	0.0000674	0.000055169	0.000033074	0.000015025
130	40	0.094	0.01	1	0.09	0.014	12	-	0.0008469	0.00095816	0.0013097	0.0019362	0.0028635	0.0031865	0.0039413	0.0043082	0.0041275	0.00092357	0.00014334	0.00011187	0.000085456	0.000060452	0.000052465	0.000032708	0.000015009
